p5_1,p5_2
4640,13
1483,67
7349,20
7351,20
7355,13
3553,430
5600,13
2314,145
2255,5385
6818,13
2052,67
7378,13
713,67
1187,13
7380,13
7384,145
1444,430
1560,67
4513,20
1194,120
7388,13
6122,13
4302,13
5326,13
7395,13
7402,13
7403,145
7413,13
7421,13
7422,145
2783,120
247,67
3790,13
6311,20
4756,13
1418,20
3028,145
3509,13
7466,13
7468,145
7469,13
1689,145
6417,13
7479,145
5465,13
1664,430
7483,145
478,13
99,120
3645,67
7491,13
1656,13
7153,145
892,13
7506,145
1343,20
7518,13
2211,13
98,120
5988,13
5110,13
7551,13
1252,120
689,780
966,20
2936,120
7571,145
4622,13
1433,67
6232,13
5944,145
4568,13
7598,145
7472,20
7606,13
7304,13
167,13
7615,145
7618,13
7621,13
1746,430
4167,13
7623,13
5028,145
1693,67
7637,145
3039,145
7645,13
6057,13
972,145
7656,13
1877,67
7657,145
7662,145
1859,13
1245,67
27,13
7673,13
4898,145
7677,13
171,67
6214,13
7173,145
7690,13
2520,13
3902,430
486,430
878,67
4344,145
5625,13
4152,145
3004,13
2741,120
6223,13
933,780
6835,13
843,67
1118,13
2526,120
7731,430
1890,67
7737,13
4030,145
6275,20
6930,13
7753,145
7755,741
4444,430
715,145
1545,145
544,13
5229,13
4637,13
4024,145
5760,13
7794,145
7795,13
7796,13
669,13
905,1321
6370,13
4574,120
1879,13
2267,67
1733,20
7814,13
7815,13
6698,13
7820,145
6815,13
5871,13
1764,13
3668,13
7839,13
7414,13
7841,145
722,67
2852,120
1446,13
4523,13
7881,13
7884,13
4117,13
7887,145
3187,145
2882,13
3538,13
7913,13
80,120
2628,145
6533,13
3041,13
274,120
3185,67
7926,145
7927,145
7543,13
4267,13
1952,20
7746,145
6169,13
5114,13
1375,1321
6020,13
7975,145
3630,20
7986,430
7988,13
6718,20
3976,13
7996,145
4825,430
4901,20
7948,13
7984,13
3130,120
6375,13
5887,13
1662,430
1561,1321
603,120
4249,20
8061,13
5103,13
3572,120
8074,20
8079,13
5095,13
5003,145
8107,20
3787,13
413,145
3793,13
8123,145
5591,430
2784,145
5588,13
8133,145
3999,20
4027,13
7249,13
3524,120
8145,13
7532,13
2377,13
8154,13
7497,13
8165,145
8170,145
552,145
8173,145
8179,145
3430,430
6888,145
8203,13
3416,120
1479,13
6828,13
8222,13
1253,120
1250,13
5390,13
2425,430
8249,13
2222,145
8254,13
8257,145
3212,430
8262,145
463,67
8277,13
8280,145
2089,20
6474,145
708,5385
2166,430
8296,13
8297,13
8299,20
680,67
2538,13
8307,13
1493,13
706,430
